11,9,11,11,9,10,10,10,8,11,10,10,9,10,10,9,11,10,10,10,11,10,16,10,10,10,12,10,11,10,10,12,10,9,11,10,10,11,11,11,9,11,10,11,9,10,10,10,11,10,12,12,10,11,10,10,16,11,10,12,11,12,11,11,11,11,9,11,14,10,9,10,12,11,9,11,11,12,10,12,10,11,12,12,12,10,12,10,11,12,11,13,11,12,12,12,10,12,11,9,10,12,12,12,11,11,10,12,11,13,12,12,11,12,12,11,11,12,10,10,12,12,11,11,13,12,12,12,12,12,16,13,13,13,12,13,14,10,13,13,14,12,13,13,12,18,12,11,13,14,13,14,12,13,12,12,12,11,14,12,13,12,12,11,13,13,12,12,12,12,11,11,10,12,11,12,12,14,12,13,11,12,12,11,13,11,13,12,15,12,13,12,13,11,13,12,12,12,13,13,13,12,12,12,12,13,11,14,12,13,12,11,12,12,13,13,11,12,12,11,12,12,13,11,12,12,12,11,14,12,12,12,13,11,12,11,12,11,15,12,12,14,11,10,11,14,10,12,12,12,11,11,15,11,10,10,11,10,11,12,12,12,12,12,12,10,11,11,11,11,11,12,11,11,11,11,11,12,12,10,12,11,10,11,11,11,12,10,10,10,10,8,11,11,10,10,10,11,12,9,10,11,10,9,12,12,10,9,11,10,9,12,13,10,9,10,12,9,12,12,12,10,10,10,10,10,10,9,10,8,9,9,9,10,10,11,9,9,10,9,9,8,10,10,9,8,10,9,9,11,10,8,8,9,9,10,9,10,12,10,9,8,9,9,9,10,8,7,9,9,7,8,9,8,9,8,10,8,8,9,14,9,8,8,8,8,9,8,9,8,7,10,9,7,8,8,8,8,8,8,1
11,10,10,11,12,10,11,10,10,10,11,9,9,10,11,11,10,10,12,9,10,10,17,10,10,11,13,10,10,11,10,11,11,12,10,11,11,12,10,10,12,11,9,10,10,12,9,12,12,10,10,12,9,10,12,13,16,10,12,11,10,10,11,11,11,11,12,12,14,11,11,9,10,11,11,13,11,13,11,11,11,11,11,11,12,12,12,11,12,13,11,13,12,11,11,11,11,11,12,11,13,11,12,12,13,11,11,13,12,12,13,13,12,10,11,12,11,12,12,12,13,11,13,13,12,12,12,12,12,13,18,13,13,13,14,12,12,13,14,13,14,15,15,14,14,19,12,12,14,13,13,14,15,13,13,13,13,12,12,11,14,13,12,12,14,12,11,11,12,14,12,13,13,12,12,13,14,12,12,13,12,12,13,14,13,12,14,12,12,11,13,13,12,11,13,13,14,12,12,13,12,12,12,10,12,16,13,14,12,12,12,12,12,15,12,12,13,13,13,11,12,12,14,13,14,12,12,12,14,13,12,11,11,13,13,11,12,12,15,12,12,13,10,11,12,14,11,13,11,12,12,12,15,12,11,12,11,12,13,12,12,12,11,13,11,12,12,11,10,12,12,13,11,11,12,11,11,13,12,12,12,13,11,11,11,11,11,11,10,11,11,11,10,11,10,9,10,11,13,11,12,11,9,11,12,11,9,10,11,11,11,12,13,10,11,10,10,10,12,9,13,10,10,11,10,10,8,8,10,9,10,11,9,9,10,10,9,9,10,9,9,9,10,10,10,10,10,8,8,9,9,8,10,9,10,10,10,10,10,9,11,10,9,10,11,11,9,9,9,9,9,9,9,9,10,10,10,9,7,8,14,8,10,10,10,8,9,9,10,8,8,9,9,8,9,10,9,9,9,9,1
11,10,8,11,10,10,8,10,11,11,10,10,10,9,10,9,11,9,10,12,10,10,16,12,10,11,11,10,10,11,10,14,10,11,10,10,10,11,12,9,11,12,11,10,11,11,11,11,10,10,11,12,12,11,10,11,16,10,10,12,10,10,10,14,11,10,12,11,12,9,9,12,12,12,11,12,10,12,11,11,12,11,12,10,12,12,12,10,10,11,10,12,12,12,12,10,11,11,12,11,11,11,12,13,13,11,10,10,12,12,12,11,11,11,12,12,11,12,13,12,12,13,12,11,14,11,12,14,14,12,18,13,11,11,14,12,12,12,12,14,14,14,13,12,13,18,13,12,15,14,14,12,15,15,11,11,11,12,13,11,15,12,13,12,14,13,10,12,13,12,12,12,13,11,13,11,12,12,12,13,12,12,13,13,12,10,12,14,14,13,13,12,12,11,12,10,12,12,12,12,14,13,13,13,12,14,12,12,12,14,12,12,15,16,12,12,13,12,12,11,13,11,11,14,13,12,10,11,11,13,12,11,12,12,12,12,12,12,15,11,12,12,12,12,14,14,13,14,12,11,13,10,14,10,12,10,11,11,12,10,10,11,10,11,12,12,13,11,13,12,12,11,10,12,11,11,12,12,11,12,12,12,9,10,10,11,11,10,12,12,12,10,11,9,9,11,11,10,12,12,12,10,11,11,11,11,10,10,11,10,10,12,12,11,11,11,11,10,14,10,12,11,12,11,10,10,10,9,10,9,10,10,10,10,10,10,8,9,9,9,10,10,10,10,10,8,8,9,9,9,9,9,10,10,9,10,10,9,11,10,9,10,10,10,10,10,9,10,10,8,10,10,10,9,11,9,9,7,9,9,14,10,9,9,9,10,9,9,9,9,9,8,9,9,9,9,10,10,8,7,1
9,9,9,8,8,9,10,10,8,10,9,8,10,8,9,9,10,9,9,9,10,9,15,9,9,9,11,10,8,9,9,11,9,8,8,9,9,9,11,9,9,10,9,9,9,8,10,8,10,9,10,9,10,11,9,9,15,10,9,10,10,11,8,11,9,9,9,11,13,8,9,10,10,10,10,11,10,10,10,10,8,10,11,10,12,11,11,9,9,11,11,12,10,11,10,10,10,10,10,10,10,11,11,11,11,11,9,9,11,11,11,11,11,12,10,12,10,9,11,11,10,11,9,12,11,11,11,12,10,10,16,11,11,11,11,13,12,14,12,12,13,11,13,12,11,17,13,11,13,13,11,11,14,13,9,11,11,11,11,10,13,11,10,9,12,11,10,12,11,12,10,12,11,11,11,11,13,11,11,11,11,10,11,11,10,9,11,12,13,12,13,11,11,10,12,11,11,11,12,11,12,12,11,10,12,11,11,12,11,11,11,10,11,13,10,11,11,9,10,10,13,11,11,13,12,12,10,11,11,11,13,11,11,11,10,11,10,10,14,11,10,15,11,9,11,13,11,12,10,10,11,8,12,13,10,11,10,9,11,10,11,10,10,11,11,9,11,10,10,11,10,11,10,11,11,10,12,12,10,9,11,9,9,11,11,10,10,10,9,10,10,10,8,9,10,10,8,9,11,9,9,9,10,9,9,11,10,9,9,10,10,10,11,10,9,10,9,9,13,9,13,9,9,9,9,10,8,9,10,9,7,9,9,8,8,9,9,8,9,8,9,9,9,9,9,7,8,9,9,8,8,9,7,7,8,10,8,7,10,9,9,9,9,8,7,8,8,9,8,8,8,7,8,8,9,7,8,8,9,8,13,9,7,6,7,8,6,7,8,9,8,9,9,8,7,8,8,7,7,8,1
10,10,9,10,9,9,10,10,10,11,11,10,10,9,10,11,10,11,11,10,10,11,15,10,8,9,10,10,10,9,10,12,9,9,9,10,9,10,12,10,9,9,10,9,9,10,10,11,11,11,10,11,11,10,9,9,16,12,11,12,11,10,10,11,10,10,9,11,12,9,11,11,9,12,11,10,9,10,11,11,9,12,13,12,12,11,10,10,11,11,11,11,11,12,12,11,11,10,11,10,12,11,11,11,12,11,10,11,11,11,11,12,12,12,12,12,11,11,10,11,11,11,12,12,12,11,12,11,12,11,16,12,12,10,13,11,11,11,14,14,14,13,13,13,13,19,13,12,14,12,12,10,14,12,11,11,10,12,12,11,14,10,9,11,15,13,11,12,12,13,11,12,11,11,12,11,13,11,13,12,11,11,12,12,12,12,12,13,13,13,13,12,11,11,11,11,13,12,12,11,13,12,13,11,13,12,9,11,12,12,12,12,13,13,11,12,11,11,13,13,13,12,12,12,11,10,10,11,12,11,13,12,11,11,12,11,11,11,16,11,11,15,11,11,11,13,11,12,12,11,11,11,13,12,11,9,10,11,9,9,10,10,10,12,12,11,11,12,11,11,11,11,11,13,10,12,11,10,10,12,12,9,11,11,9,11,11,10,8,9,11,10,10,10,10,10,10,9,11,10,10,10,10,9,10,11,10,10,9,9,10,10,13,10,9,11,10,10,13,9,13,9,9,9,10,10,9,9,8,10,9,11,9,9,10,9,9,9,10,10,10,7,9,10,9,9,11,9,8,8,11,8,8,8,9,8,10,9,10,9,8,10,9,8,8,10,8,8,8,10,8,9,9,9,9,9,8,9,8,10,14,8,8,7,9,8,8,9,8,7,9,10,8,8,10,9,8,7,9,8,1
9,10,10,11,10,8,8,9,10,11,9,9,9,9,9,9,9,9,10,10,10,9,16,11,11,9,11,10,10,10,11,11,9,10,10,11,10,10,10,10,8,10,10,9,10,10,9,10,10,9,10,11,9,10,10,10,15,10,8,10,9,10,9,11,11,11,11,11,14,9,9,9,10,11,10,11,11,11,11,11,9,10,10,11,12,12,13,10,11,11,9,12,12,11,11,9,11,10,11,11,11,11,9,9,11,11,11,12,10,12,11,10,10,10,11,11,10,9,12,12,10,13,11,12,11,11,12,13,13,11,17,10,11,11,13,11,10,11,13,12,14,14,13,11,12,16,12,11,13,14,13,13,13,15,11,11,11,12,12,11,15,13,13,12,13,11,11,13,11,13,11,13,12,10,11,11,12,10,11,12,11,11,11,13,12,9,13,12,13,11,14,11,11,12,13,11,11,11,13,12,11,13,11,11,13,12,12,12,11,10,11,11,13,14,11,11,12,11,11,11,12,10,11,13,13,12,11,13,13,11,11,12,11,12,12,12,13,10,15,12,11,13,11,9,12,15,11,13,10,11,12,11,12,11,11,11,11,11,11,11,10,10,10,11,11,11,12,11,10,10,11,11,11,10,9,12,10,12,11,11,12,11,9,12,9,10,9,10,10,10,10,10,10,10,11,9,8,10,10,11,11,10,10,10,9,9,10,9,9,10,10,10,12,9,9,9,8,10,12,10,11,11,10,8,9,9,9,8,10,10,9,9,10,10,9,8,9,8,9,8,10,10,9,9,9,7,9,9,10,9,9,8,9,8,9,10,8,7,9,9,8,8,10,9,8,10,9,7,6,8,9,8,8,9,10,9,9,8,8,7,11,9,7,7,8,10,8,9,8,7,7,7,9,7,9,8,9,9,8,8,1
9,11,10,10,9,10,9,8,9,11,11,10,10,11,9,9,10,10,10,10,11,11,15,11,11,10,12,9,10,10,9,13,11,9,10,11,9,10,11,9,11,11,11,11,10,10,10,11,12,9,11,11,11,11,10,11,16,11,11,12,11,11,13,13,10,12,11,12,13,11,10,10,11,11,11,12,12,12,9,11,11,11,11,12,13,13,11,12,11,11,11,12,10,11,12,10,11,12,12,11,10,12,12,11,12,10,12,11,12,13,11,10,11,13,11,11,11,12,12,11,12,10,11,13,13,13,14,12,13,11,17,14,12,12,12,11,12,11,13,15,15,13,14,13,13,17,14,10,14,13,14,12,14,14,11,11,12,14,12,12,16,13,13,12,12,13,12,12,11,13,12,13,13,11,13,11,12,11,14,12,10,12,13,13,11,11,12,11,12,13,13,11,13,11,13,13,13,12,13,13,14,12,11,13,13,13,11,13,11,13,12,12,14,13,12,13,11,11,11,11,11,11,13,13,12,14,11,11,13,13,13,11,11,12,11,11,11,12,15,11,13,14,12,11,13,15,12,13,11,11,12,10,13,11,11,12,12,11,12,12,11,11,11,10,12,12,12,11,11,13,11,11,11,11,11,11,11,12,10,13,11,10,10,10,11,11,11,11,11,9,11,10,10,9,11,11,11,10,14,11,10,10,10,10,10,11,11,9,11,11,11,11,13,10,10,10,11,9,13,10,13,13,9,10,9,10,9,10,9,9,9,10,10,11,8,10,10,10,8,10,10,9,10,10,7,10,10,9,8,9,10,9,9,9,9,9,10,10,12,9,10,9,8,9,9,9,8,9,9,7,9,9,9,9,11,9,9,7,8,8,11,8,8,8,8,9,8,9,8,9,8,8,9,9,9,8,11,8,9,7,1
11,10,10,10,9,9,10,10,9,11,10,11,10,9,11,10,10,9,11,10,9,11,14,9,9,11,12,11,11,11,9,11,11,11,9,11,9,10,11,9,11,10,10,10,10,9,8,10,10,10,11,11,10,11,11,10,14,11,10,11,10,10,11,11,11,11,9,9,13,11,8,10,11,11,11,10,10,11,10,11,11,10,13,12,14,11,12,10,12,10,8,13,11,10,12,10,10,12,11,9,10,10,14,12,11,12,11,9,11,12,11,11,11,12,11,11,10,12,13,10,12,12,10,11,12,12,12,12,14,12,16,13,11,12,12,12,12,11,14,14,15,13,14,13,13,17,13,13,14,13,13,14,13,13,12,12,11,12,13,11,14,12,12,11,12,12,11,12,13,13,12,12,13,12,11,11,12,13,12,12,11,12,12,13,12,10,13,12,13,14,12,13,13,11,12,12,12,11,13,11,13,12,13,11,12,12,12,13,12,12,12,12,13,14,13,12,11,12,12,10,12,13,13,13,13,13,12,10,11,12,12,11,12,13,12,11,13,11,14,11,12,14,10,13,11,13,11,13,12,11,12,11,13,11,11,12,10,11,12,12,10,10,13,13,11,12,13,11,11,12,12,12,11,11,11,11,11,13,10,12,12,12,10,10,10,12,10,10,12,11,11,11,11,11,11,11,10,12,12,12,11,9,9,11,11,9,11,12,11,11,11,11,11,9,11,10,11,11,15,10,12,10,9,10,9,10,9,10,9,10,11,11,10,10,9,9,9,10,10,10,10,10,8,10,10,8,9,9,9,10,11,10,10,10,9,9,8,8,11,9,9,10,9,9,8,8,8,9,8,9,9,9,10,8,11,7,8,8,8,9,13,9,9,9,9,9,8,9,8,9,9,8,10,8,9,10,8,8,8,7,1
9,9,10,10,10,10,11,8,8,11,10,11,10,9,8,8,11,8,9,10,8,10,14,11,9,10,12,10,10,9,9,11,10,10,10,9,8,10,11,9,9,10,10,9,9,10,10,10,11,9,8,12,10,10,10,11,14,10,9,12,11,10,10,12,10,10,11,11,11,9,10,11,10,12,10,10,10,9,11,8,10,10,12,11,12,11,12,10,10,11,10,13,10,11,12,11,10,11,11,8,10,12,10,10,11,10,10,9,11,12,11,11,11,11,10,10,12,12,10,10,12,11,10,11,12,12,11,12,12,12,15,11,10,12,12,11,11,10,12,14,14,12,12,13,12,17,12,11,12,14,13,12,13,13,12,10,10,12,12,10,13,13,11,11,14,12,11,10,11,12,11,11,10,12,12,12,11,12,11,12,12,11,11,11,11,10,11,11,13,12,12,11,12,12,12,12,13,11,12,12,12,12,12,11,12,11,11,13,10,12,11,12,11,14,12,13,11,11,11,11,12,11,11,11,10,11,11,11,12,11,12,11,10,12,13,11,11,11,13,11,11,14,11,10,11,13,10,10,11,12,10,10,13,12,11,11,11,10,10,10,12,9,10,11,10,9,11,11,10,10,9,11,10,11,11,11,11,13,10,12,11,10,10,10,9,10,10,11,11,10,10,9,9,10,9,10,9,11,12,10,9,9,9,8,10,10,10,9,10,10,10,10,11,9,8,9,12,9,11,9,12,9,8,10,10,8,9,9,9,9,9,9,8,8,8,9,8,8,8,9,9,8,9,8,8,8,10,9,7,8,9,7,9,8,9,8,8,8,11,8,9,8,9,8,8,9,7,8,8,10,8,8,8,9,9,8,8,8,8,8,14,9,8,8,8,8,7,7,10,8,8,10,9,9,8,8,7,8,7,7,1
11,11,9,12,10,10,9,10,10,11,10,10,9,11,10,10,9,11,11,10,12,10,17,11,10,11,12,10,9,9,11,12,10,12,11,11,11,11,11,11,10,10,10,10,11,11,11,11,13,11,11,13,10,11,12,11,17,9,11,11,10,10,12,13,11,12,12,11,13,10,12,11,11,12,11,12,11,11,12,10,11,10,12,10,14,12,12,11,12,11,10,12,11,12,12,12,13,12,13,13,11,10,10,12,12,11,11,11,13,13,12,13,12,12,13,13,13,13,12,11,12,11,13,13,13,13,14,13,12,13,19,13,13,12,13,12,13,13,13,14,15,15,15,13,13,18,13,12,15,14,15,13,16,15,12,11,12,12,13,13,15,13,14,14,14,11,12,13,12,13,12,13,11,11,12,12,11,11,15,12,12,12,13,13,13,12,13,13,14,12,13,13,12,12,14,13,14,13,12,12,14,13,14,12,14,15,12,13,12,13,12,11,14,15,11,13,14,12,12,13,13,11,12,13,13,11,11,13,13,12,11,11,11,11,13,13,13,12,15,13,12,14,11,11,11,15,13,14,12,12,13,11,13,11,11,11,12,12,13,12,12,11,11,12,11,11,13,11,12,12,11,12,11,12,11,11,12,14,10,11,13,12,10,12,11,11,11,11,12,10,12,12,12,11,11,11,11,9,11,13,12,11,11,11,11,12,10,10,10,10,12,12,12,10,10,9,10,11,13,12,13,9,11,11,9,11,11,9,9,11,10,10,11,10,12,9,8,9,9,9,9,9,11,12,11,10,9,9,11,9,11,10,10,9,10,10,11,8,11,9,11,10,10,10,10,11,9,10,9,9,9,10,9,8,9,10,9,9,9,10,14,9,8,8,8,9,9,9,8,7,9,9,7,9,10,10,8,9,9,7,1
11,8,8,10,9,9,9,10,10,10,9,9,10,8,10,10,9,9,11,10,10,11,16,9,8,11,12,9,10,11,8,11,11,9,9,11,11,9,11,10,10,10,9,11,9,7,11,10,10,9,10,11,10,9,11,9,15,11,11,10,11,11,10,10,10,11,9,9,13,9,10,10,11,10,9,11,10,10,12,10,10,10,11,11,12,10,10,10,10,11,11,13,10,11,11,9,8,11,9,10,11,11,11,12,11,11,10,9,11,11,12,11,11,10,11,10,11,11,11,11,11,11,13,11,13,12,12,12,12,11,16,12,12,12,12,11,11,11,12,13,14,13,13,14,13,17,11,11,13,13,13,14,14,13,10,11,12,11,12,12,13,11,11,11,12,13,12,11,13,13,12,11,9,11,11,10,11,12,12,10,12,11,11,12,12,11,13,12,13,11,13,13,12,10,11,11,12,12,13,13,11,11,12,10,11,12,13,13,12,12,12,12,12,13,11,11,11,11,12,11,12,12,11,11,11,12,9,12,12,12,13,13,12,11,10,12,10,11,13,12,11,15,12,10,11,13,12,12,9,11,12,10,12,11,10,10,11,11,10,11,11,10,10,11,11,11,11,10,11,12,10,11,10,11,11,11,12,11,10,10,10,11,11,11,9,11,12,10,9,11,11,9,10,12,10,10,10,11,11,8,10,9,10,11,11,9,10,10,11,9,9,12,12,8,10,10,10,9,13,9,11,10,9,10,9,10,10,10,9,10,9,8,10,8,8,8,10,9,11,9,10,9,8,9,9,8,10,10,9,10,8,8,10,9,8,9,10,8,11,9,8,8,8,9,7,8,8,10,8,9,9,8,7,9,9,8,8,8,8,8,13,8,8,7,9,7,8,7,9,9,9,9,9,9,9,7,7,7,9,8,1
12,9,9,10,10,9,9,9,9,9,9,9,10,10,10,11,11,10,11,9,11,10,16,11,9,10,13,11,10,9,10,12,10,10,10,10,10,11,12,11,10,9,10,9,9,11,10,11,12,11,10,11,11,10,10,11,15,10,12,12,11,11,10,11,10,10,11,11,13,9,11,11,10,11,12,8,9,11,11,10,10,12,11,11,13,10,12,11,10,11,11,13,11,11,13,11,11,12,11,11,11,12,10,12,13,11,10,10,11,11,11,11,13,13,12,11,12,12,13,11,12,12,12,12,13,10,11,11,12,12,15,11,13,12,13,13,12,12,14,13,13,13,13,14,13,17,13,13,15,13,12,13,12,12,12,12,11,13,13,11,13,12,12,11,13,11,13,12,14,13,13,11,11,13,12,12,14,12,12,12,13,12,11,12,13,11,12,11,14,12,12,12,13,11,11,12,14,12,13,13,14,13,11,12,13,12,11,13,13,12,12,12,13,12,11,13,11,11,10,13,12,12,13,13,13,11,11,12,12,12,13,13,13,12,13,11,11,11,15,11,11,13,13,11,12,13,11,13,11,11,11,10,14,11,11,10,11,11,10,11,10,11,10,12,13,12,11,11,11,11,11,11,12,13,10,10,12,13,11,11,11,10,9,11,11,10,12,12,11,10,10,11,10,11,10,12,10,10,13,11,11,11,11,11,10,11,11,11,10,9,9,11,11,8,10,10,9,9,13,10,11,10,10,9,9,10,10,9,10,11,9,9,8,10,10,10,9,9,8,10,10,12,9,8,9,9,9,10,10,9,10,8,10,8,9,8,9,8,11,9,10,8,9,9,9,10,8,9,9,8,8,9,9,7,9,7,10,7,8,9,13,8,8,8,9,8,9,8,8,7,9,9,8,8,10,9,9,7,9,7,1
8,8,10,10,8,8,10,9,9,11,11,9,11,9,10,10,10,11,8,9,11,10,14,10,10,11,12,10,11,10,10,11,10,10,10,10,11,11,9,11,11,10,10,12,9,7,9,10,11,11,12,13,11,11,11,11,16,9,11,13,10,11,11,11,11,11,11,11,13,9,10,12,11,11,11,10,11,11,11,10,11,11,11,11,13,10,11,9,11,11,10,13,11,11,11,11,10,10,10,10,11,10,12,11,11,11,10,10,11,11,11,11,9,11,13,11,12,12,12,12,12,12,11,11,12,12,12,12,13,12,18,12,11,13,14,12,12,12,12,13,14,14,14,12,12,18,13,11,14,13,13,13,14,13,12,13,13,12,11,11,12,11,11,13,13,13,12,13,13,13,13,11,11,11,12,12,12,11,13,12,11,11,10,11,11,11,13,13,14,13,13,12,11,10,13,13,13,12,14,13,13,13,12,11,11,11,12,14,12,13,13,11,13,13,13,12,12,13,10,12,13,11,13,13,13,11,9,11,12,12,13,12,13,12,12,11,12,12,14,11,13,14,11,12,12,13,11,12,11,11,11,13,15,11,11,12,11,10,12,10,10,10,10,13,11,10,12,10,10,12,11,11,10,12,12,11,10,12,11,9,12,11,10,10,11,12,11,10,9,10,10,9,10,10,10,10,11,11,11,9,11,10,10,10,9,11,9,10,10,9,9,11,13,9,10,9,10,11,12,10,12,9,9,10,8,10,10,10,10,9,10,9,8,9,9,10,9,9,10,10,8,9,10,9,9,9,9,9,8,10,10,9,9,9,10,8,10,9,10,10,9,8,9,9,9,10,8,10,10,9,9,9,10,8,9,9,8,8,9,10,13,8,9,10,8,7,8,8,7,8,9,10,10,8,10,8,6,8,9,8,1
10,9,9,10,9,11,9,11,9,10,9,9,9,10,11,10,11,9,10,9,9,9,15,11,10,11,12,9,11,11,8,11,9,10,9,11,10,9,11,10,10,9,11,11,10,9,10,8,10,10,11,12,11,11,11,9,15,11,9,11,12,10,9,11,10,11,10,11,14,10,9,10,11,10,8,11,11,11,10,10,11,12,10,12,12,10,10,10,12,10,11,12,10,10,11,10,10,11,11,10,12,11,12,12,12,10,10,10,11,11,12,10,10,12,10,11,11,12,12,10,10,12,11,11,11,11,11,12,12,12,16,12,12,13,12,10,13,11,12,12,15,13,12,12,14,17,12,12,13,12,11,13,13,13,12,11,12,12,12,11,14,11,10,11,11,12,13,10,11,11,12,11,11,11,12,10,10,12,11,12,10,11,10,12,11,11,11,11,13,12,12,10,12,10,13,11,11,11,12,13,12,10,11,10,12,11,11,12,11,11,11,10,13,12,11,12,12,11,12,12,12,10,11,12,11,11,11,12,11,11,13,11,12,11,12,11,10,12,16,12,11,13,11,9,11,14,10,11,10,11,11,11,15,12,10,11,11,11,11,12,11,9,11,10,10,9,11,11,11,13,12,12,11,11,11,10,11,11,11,11,11,10,10,11,11,10,11,10,9,9,10,10,9,9,11,10,9,10,11,9,9,10,9,10,9,11,11,9,11,9,9,9,10,10,9,10,10,11,11,9,11,9,8,9,10,9,8,8,10,9,9,9,9,8,8,8,10,9,9,9,10,7,8,8,8,8,10,10,9,8,8,7,8,8,10,8,9,8,10,10,8,9,7,8,8,8,8,7,8,9,8,7,8,7,10,8,8,8,8,9,13,8,7,7,7,7,7,7,9,8,8,8,8,7,7,9,9,9,8,8,1
9,10,9,10,10,9,10,10,9,10,8,7,10,10,10,10,11,9,9,9,10,9,14,9,9,9,12,10,10,9,9,11,9,9,9,10,9,10,11,10,10,9,10,9,10,11,10,10,9,10,10,11,11,10,8,9,14,10,10,10,10,10,9,10,10,10,9,9,12,9,9,10,10,9,8,9,11,9,10,11,10,11,11,11,13,10,12,10,10,10,10,12,10,11,10,10,10,10,11,11,11,10,11,12,11,9,11,10,10,11,11,11,11,11,11,10,10,10,12,10,10,11,11,10,12,12,12,11,11,11,16,11,12,11,12,11,11,11,11,12,15,12,13,12,10,16,11,10,12,11,11,12,14,14,12,11,11,12,11,11,13,11,10,11,14,13,11,11,10,12,11,11,12,10,12,12,10,11,11,11,12,9,10,12,11,10,11,12,12,12,12,12,10,10,11,11,12,11,13,12,11,11,13,12,11,11,11,11,11,11,11,12,12,13,11,10,12,12,10,12,10,11,12,11,11,12,10,12,14,14,12,12,13,11,11,10,13,11,14,11,12,12,12,11,12,14,10,10,11,12,11,10,14,12,10,11,11,8,10,12,11,10,10,12,10,10,11,10,10,10,11,11,10,10,11,11,11,11,10,12,10,10,11,11,9,10,12,10,8,10,10,10,10,10,11,9,10,10,11,9,9,10,10,9,10,9,11,9,11,9,10,11,11,10,9,10,10,10,12,10,13,8,9,10,10,8,10,9,10,9,8,8,10,10,10,9,9,8,8,10,10,7,7,8,9,8,8,9,8,8,9,9,9,7,7,7,10,7,9,9,9,9,9,8,8,10,8,8,8,8,10,9,8,7,8,8,7,8,8,9,12,8,8,8,7,8,8,8,7,8,8,6,8,9,8,8,8,8,7,8,1
10,10,9,9,11,10,8,9,9,11,10,9,9,9,11,9,10,9,12,10,9,9,14,11,9,11,13,10,9,11,9,11,10,11,10,10,10,11,11,8,10,10,10,9,9,11,11,9,11,10,11,10,10,10,9,11,15,11,9,10,10,10,10,12,10,11,10,12,14,10,9,11,10,10,9,11,10,11,11,11,11,11,10,10,12,10,13,11,12,11,12,12,9,10,11,11,10,11,13,11,9,11,13,11,11,9,11,12,12,11,12,10,12,12,11,12,11,12,11,10,12,12,12,11,11,11,11,13,13,11,16,11,13,12,13,11,12,11,12,13,14,14,15,12,13,17,12,12,13,13,12,12,14,12,10,12,11,10,12,12,15,13,12,12,13,12,11,13,10,13,11,11,11,12,11,12,12,11,11,12,11,11,12,13,11,11,13,13,13,11,13,12,11,11,13,12,13,12,13,14,12,12,12,11,12,12,12,13,12,12,13,12,13,13,12,12,12,13,14,12,11,11,11,13,10,12,11,11,13,13,13,12,12,12,12,11,13,12,15,11,11,15,10,10,10,14,11,11,12,12,11,11,12,11,9,11,11,11,9,10,12,11,9,11,12,9,11,10,12,10,11,13,13,13,11,9,11,10,11,12,12,12,10,11,11,10,9,10,10,10,11,11,11,9,11,11,9,9,12,11,10,10,10,11,10,10,11,9,9,9,10,11,11,11,11,11,11,10,12,9,12,10,10,9,9,11,11,8,9,10,9,9,9,10,9,8,9,10,9,8,9,9,8,9,10,10,10,9,9,10,9,10,9,9,8,9,10,9,12,9,10,10,8,8,9,9,9,9,9,8,8,8,7,8,9,8,8,8,8,10,14,8,8,8,9,6,8,8,8,8,8,10,8,6,9,8,9,8,10,9,1
10,10,10,11,9,9,10,8,8,10,10,10,9,11,10,8,9,10,10,9,10,11,15,8,8,11,11,9,9,11,9,10,10,10,10,10,10,9,10,9,10,10,10,10,9,11,10,11,10,9,10,10,9,9,11,11,15,9,11,10,9,10,10,9,10,11,11,10,13,9,9,10,12,10,9,10,11,11,10,9,9,9,10,10,12,10,11,11,11,11,11,11,11,9,11,10,11,11,11,12,13,9,9,11,11,9,11,11,11,10,12,11,10,11,11,13,11,13,12,12,11,12,12,11,11,10,12,12,12,11,17,11,11,12,12,11,10,11,13,13,14,12,13,12,11,17,12,10,12,14,12,12,13,14,12,10,10,10,12,12,13,11,13,13,13,11,11,11,12,13,12,11,11,12,12,12,12,11,11,11,12,10,11,11,13,12,11,9,13,11,12,11,12,12,12,14,13,11,12,12,12,11,12,10,11,11,11,13,11,11,11,12,12,12,12,12,11,12,11,12,12,10,12,13,12,11,11,11,11,11,12,11,12,10,12,11,11,12,14,12,12,13,11,10,12,12,12,13,12,12,12,10,13,11,10,10,11,11,12,12,11,10,10,10,11,10,11,10,11,12,11,12,10,11,9,11,12,11,9,10,12,11,10,10,11,10,10,10,10,10,9,10,12,10,10,10,10,10,10,10,10,11,9,9,10,10,9,9,10,10,10,11,12,11,10,11,9,9,11,10,13,9,9,9,9,9,8,8,8,8,10,9,9,10,10,9,9,8,10,8,8,8,10,8,8,9,10,9,8,8,9,9,9,9,9,9,9,8,11,9,8,8,9,7,8,9,8,8,8,9,8,7,9,10,10,7,8,9,8,9,13,9,7,8,8,8,8,9,9,8,8,7,8,8,8,9,9,8,8,8,1
